simple = [
400 1.179908e+00 0.000000e+00 
500 1.067013e+00 0.000000e+00 
600 9.500707e-01 0.000000e+00 
700 6.252358e-01 0.000000e+00 
800 7.170828e-01 0.000000e+00 
900 6.648172e-01 0.000000e+00 
1000 7.679607e-01 0.000000e+00 
1100 7.476875e-01 0.000000e+00 
1200 8.148428e-01 0.000000e+00 
1300 7.930971e-01 0.000000e+00 
1400 8.214482e-01 0.000000e+00 
1500 7.984779e-01 0.000000e+00 
];
optimized = [
400 2.258093e+00 0.000000e+00 
500 1.896324e+00 0.000000e+00 
600 1.717694e+00 0.000000e+00 
700 1.728748e+00 0.000000e+00 
800 1.659711e+00 0.000000e+00 
900 1.602476e+00 0.000000e+00 
1000 1.659265e+00 0.000000e+00 
1100 1.724364e+00 0.000000e+00 
1200 1.580011e+00 0.000000e+00 
1300 1.558568e+00 0.000000e+00 
1400 1.691038e+00 0.000000e+00 
1500 1.803382e+00 0.000000e+00 
];
