simple = [
400 1.175142e+00 0.000000e+00 
500 1.053062e+00 0.000000e+00 
600 9.568233e-01 0.000000e+00 
700 6.284941e-01 0.000000e+00 
800 6.874629e-01 0.000000e+00 
900 6.773799e-01 0.000000e+00 
1000 6.892977e-01 0.000000e+00 
1100 7.293646e-01 0.000000e+00 
1200 7.727317e-01 0.000000e+00 
1300 8.181077e-01 0.000000e+00 
1400 7.439465e-01 0.000000e+00 
1500 8.148048e-01 0.000000e+00 
];
optimized = [
400 2.526648e+00 0.000000e+00 
500 2.483460e+00 0.000000e+00 
600 2.307976e+00 0.000000e+00 
700 2.178628e+00 0.000000e+00 
800 2.095745e+00 0.000000e+00 
900 2.120188e+00 0.000000e+00 
1000 2.062111e+00 0.000000e+00 
1100 2.149706e+00 0.000000e+00 
1200 2.094577e+00 0.000000e+00 
1300 2.126784e+00 0.000000e+00 
1400 1.810971e+00 0.000000e+00 
1500 1.625788e+00 0.000000e+00 
];
